Library Code,Library Name,Latitude,Longitude
148024,경상남도교육청 창녕도서관,35.5359284,128.5035663
148025,경상남도교육청 창원도서관,35.2243237,128.6641208
148026,경상남도교육청 통영도서관,34.8278389,128.4161814
148036,경상남도교육청 하남도서관,35.3763692,128.7121536
148027,경상남도교육청 하동도서관,35.0638743,127.7447672
148028,경상남도교육청 함안도서관,35.2714708,128.4082277
148029,경상남도교육청 함양도서관,35.5211121,127.7270663
148030,경상남도교육청 합천도서관,35.5643101,128.1689735
147002,경상북도교육청 고령도서관,35.7311981,128.2675909
147003,경상북도교육청 구미도서관,36.1238074,128.3315119
147014,경상북도교육청 금호도서관,35.9343797,128.8806563
147007,경상북도교육청 봉화도서관,36.8883933,128.7401267
147008,경상북도교육청 상주도서관,36.4120515,128.1584487
147040,경상북도교육청 상주도서관 화령분관,36.44241,127.945837
147009,경상북도교육청 성주도서관,35.9275785,128.2835825
147010,경상북도교육청 안동도서관,36.5614924,128.7170411
147011,경상북도교육청 안동도서관 용상분관,36.5576204,128.7516426
147039,경상북도교육청 안동도서관 풍산분관,36.5767134,128.5752714
147031,경상북도교육청 영덕도서관,36.4146875,129.3680705
147012,경상북도교육청 영양도서관,36.6606963,129.1108249
147013,경상북도교육청 영일도서관,36.113839,129.345885
147032,경상북도교육청 영주선비도서관,36.8198818,128.6062617
147024,경상북도교육청 영주선비도서관 풍기분관,36.8708438,128.5196398
147015,경상북도교육청 예천도서관,36.6554127,128.4546282
147016,경상북도교육청 외동도서관,35.7172229,129.3245128
147017,경상북도교육청 울릉도서관,37.4993877,130.901446
147018,경상북도교육청 울진도서관,36.9863869,129.3994624
147019,경상북도교육청 의성도서관,36.3537544,128.700792
147020,경상북도교육청 점촌도서관,36.6058736,128.2045857
147006,경상북도교육청 점촌도서관 가은분관,36.6470547,128.0618016
147021,경상북도교육청 청도도서관,35.6452984,128.7400677
147022,경상북도교육청 청송도서관,36.4366493,129.0552349
147023,경상북도교육청 칠곡도서관,35.996273,128.4035346
147105,경상북도교육청문화원 종합정보자료실,36.0736127,129.3913615
347034,경상북도교육청연수원 도서관,36.1243423,128.3221001
147046,경상북도교육청정보센터,35.822663,128.7441109
147042,경주시립감포도서관,35.798772,129.4929311
147044,경주시립단석도서관,35.8517385,129.1025403
147025,경주시립도서관,35.8598841,129.2186252
147120,경주시립송화도서관,35.8421572,129.1816974
147026,경주시립중앙도서관,35.8384087,129.2076376
147052,경주시립칠평도서관,35.992291,129.2186912
144055,고대웃음꽃 작은도서관,36.9364382,126.59208
111312,고맙습니다 하난곡작은도서관,37.4767912,126.9199313
144111,고북작은도서관,36.667254,126.533492
741758,고암작은도서관,37.8333114,127.0708782
141574,고양시립가좌도서관,37.6861719,126.7202262
141139,고양시립대화도서관,37.6809678,126.753923
141398,고양시립덕이도서관,37.7029746,126.754531
141055,고양시립마두도서관,37.6664887,126.782103
141073,고양시립백석도서관,37.6472487,126.793775
141635,고양시립별꿈도서관,37.6534467,126.8519658
141555,고양시립삼송도서관,37.6488432,126.884639
141388,고양시립식사도서관,37.6760845,126.815918
141546,고양시립신원도서관,37.6663747,126.886347
141123,고양시립아람누리도서관,37.6615541,126.7745
141059,고양시립원당도서관,37.6562321,126.838837
141631,고양시립일산도서관,37.6850421,126.7642552
141124,고양시립주엽어린이도서관,37.6684857,126.756534
141150,고양시립풍동도서관,37.6705562,126.795196
141140,고양시립한뫼도서관,37.6935842,126.776286
141018,고양시립행신도서관,37.6207524,126.828326
141126,고양시립행신어린이도서관,37.6147771,126.843475
141072,고양시립화정도서관,37.637831,126.837192
141125,고양시립화정어린이도서관,37.6328887,126.826242
741193,고양윤창작은도서관,37.7057387,126.8948322
741190,고양작은도서관,37.7024393,126.9012101
150009,고운남측도서관,36.5049652,127.235359
150004,고운동도서관,36.5197146,127.236587
141591,고촌도서관,37.6032053,126.7711481
741297,고현초꿈키움도서관,37.1336377,127.0854297
146035,고흥군립남부도서관,34.5275467,127.1415292
146051,고흥군립북부도서관,34.780904,127.3306506
146077,고흥군립중앙도서관,34.609695,127.2889664
111512,공릉행복도서관,37.6223104,127.0727525
144043,공주기적의도서관,36.45934,127.1266693
144014,공주시 웅진도서관,36.460818,127.1111132
141062,과천시정보과학도서관,37.4187291,126.9897092
141202,관산작은도서관,37.6879734,126.8625188
111217,관악산詩도서관,37.4681523,126.9455001
111045,관악중앙도서관,37.4671252,126.9448168
130023,관평도서관,36.4262899,127.3897975
741089,광남작은도서관,37.3855352,127.2365257
141080,광명시광명도서관,37.4653018,126.8513075
141561,광명시소하도서관,37.4454883,126.8880089
141613,광명시연서도서관,37.482755,126.8646514
141405,광명시철산도서관,37.4769575,126.8723412
141155,광명시충현도서관,37.4340114,126.8847294
141019,광명시하안도서관,37.4676204,126.8735159
